arrayLength	time (ns)
1000	2.58958E5
2000	1.02017E6
3000	2.28512E6
4000	4.04783E6
5000	6.28958E6
6000	9.07392E6
7000	1.23302E7
8000	1.61664E7
9000	2.04832E7
10000	2.54503E7
11000	3.06938E7
12000	3.65578E7
13000	4.30020E7
14000	4.97995E7
15000	5.71526E7
16000	6.51978E7
17000	7.39882E7
18000	8.26288E7
19000	9.19572E7
20000	1.01800E8
