arrayLength	time (ns)
1000	5.06709E5
1100	6.09500E5
1200	7.31667E5
1300	8.50083E5
1400	9.87291E5
1500	1.13217E6
1600	1.28750E6
1700	1.45388E6
1800	1.62912E6
1900	1.82088E6
2000	2.01329E6
2100	2.21612E6
2200	2.42708E6
2300	2.65875E6
2400	2.89358E6
2500	3.13779E6
2600	3.38700E6
2700	3.65871E6
2800	3.93762E6
2900	4.23196E6
